Animal ID,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Breed_Intake,Color_Intake,Sex upon Outcome,binary_outcome,Age Outcome,Age Intake
A811335,204 Meadow Lea Drive in Austin (TX),Stray,Normal,Dog,Intact Male,German Shepherd,Black/Tan,Intact Male,positive,737,730
A767918,8311 Annabelle Drive in Travis (TX),Stray,Nursing,Dog,Unknown,Chihuahua Shorthair Mix,Brown/Black,Unknown,positive,11,11
A756051,14000 Sunderland Dr in Austin (TX),Stray,Normal,Cat,Intact Male,American Shorthair Mix,Black/Black,Intact Male,positive,186,181
A765199,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,Pointer Mix,Black/White,Spayed Female,positive,63,61
A727185,1600 Grove Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,Anatol Shepherd Mix,Tan/Black,Neutered Male,positive,215,213
A782255,6708 Lancret Hill Drive in Austin (TX),Stray,Normal,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby,Neutered Male,positive,3684,3652
A769229,South Congress And Stassney in Austin (TX),Stray,Normal,Dog,Intact Female,Labrador Retriever/Weimaraner,Black/White,Intact Female,positive,732,730
A731125,Riverside And Montopolis Dr in Austin (TX),Stray,Normal,Dog,Intact Male,German Shepherd Mix,Black/Brown,Neutered Male,positive,66,61
A759416,12028 Trot Wood Drive in Austin (TX),Public Assist,Normal,Cat,Neutered Male,Domestic Medium Hair Mix,Blue Tabby,Neutered Male,positive,4391,4383
A771998,2906 East Martin Luther King Jr Boulevard in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Black,Intact Male,positive,30,28
A756501,6705 Hillcroft in Austin (TX),Stray,Sick,Cat,Intact Female,Domestic Shorthair Mix,Black,Intact Female,positive,61,61
A720168,Fletcher Ln And Tx-71 in Austin (TX),Stray,Normal,Dog,Neutered Male,Chihuahua Shorthair Mix,Black/Tan,Neutered Male,positive,1157,1157
A730022,5700 Peppertree in Austin (TX),Stray,Normal,Dog,Intact Female,Chihuahua Shorthair Mix,Brown/Black,Intact Female,positive,257,257
A743775,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,Australian Cattle Dog Mix,White/Tan,Spayed Female,positive,465,462
