Animal ID,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Breed_Intake,Color_Intake,Sex upon Outcome,binary_outcome,Age Outcome,Age Intake
A690614,Delta Post And Webberville in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Black,Neutered Male,positive,87,45
A710296,2001 Bastrop Hwy in Del Valle (TX),Stray,Normal,Dog,Intact Male,Norwich Terrier Mix,Tan,Neutered Male,positive,1100,1095
A803783,9704 Circle Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,Pit Bull,White/Tan,Neutered Male,positive,731,730
A686644,Old Harbor Ln in Austin (TX),Stray,Normal,Dog,Intact Male,Chihuahua Shorthair/Jack Russell Terrier,Black/Tan,Neutered Male,positive,83,79
A795844,4610 Bucks Run Road in Austin (TX),Stray,Normal,Cat,Unknown,Domestic Shorthair,Brown Tabby/White,Unknown,positive,6,6
A690144,17200 Bridgefarmer Blvd in Travis (TX),Wildlife,Sick,Other,Unknown,Bat Mix,Brown,Unknown,negative,192,183
A735747,2701 E 7Th St in Austin (TX),Stray,Injured,Dog,Intact Female,Chow Chow Mix,Tan,Intact Female,positive,734,730
A809513,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,Australian Shepherd/German Shepherd,Tan/White,Spayed Female,positive,69,68
A759330,8108 Canoga in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Tortie,Spayed Female,positive,309,274
A806508,7619 North Interstate 35 in Austin (TX),Stray,Normal,Cat,Spayed Female,Domestic Shorthair,Brown Tabby/White,Spayed Female,positive,125,76
A711662,Lago Vista (TX),Owner Surrender,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,Neutered Male,positive,131,38
A723777,7105 Spurlock Dr in Austin (TX),Wildlife,Injured,Other,Unknown,Raccoon,Gray/Black,Unknown,negative,367,366
A687217,6710 Starcrest Ln in Austin (TX),Stray,Normal,Dog,Intact Male,Border Collie Mix,Brown/White,Neutered Male,positive,82,77
A808636,1616 West 6Th Street in Austin (TX),Stray,Normal,Cat,Intact Female,Siamese,Seal Point,Intact Female,negative,5480,5478
A739049,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby,Neutered Male,positive,3080,2916
A719072,510 W 26Th St in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Medium Hair Mix,Tortie,Spayed Female,positive,189,184
A701387,7210 Geneva Drive in Austin (TX),Stray,Normal,Dog,Intact Male,Pit Bull Mix,Fawn/White,Intact Male,positive,1464,1463
A740267,4600 Sivlerstone Rd in Austin (TX),Stray,Injured,Dog,Intact Female,Dachshund Mix,Red,Spayed Female,positive,425,366
A799169,189 Jacobson Road in Travis (TX),Stray,Normal,Cat,Unknown,Domestic Shorthair,Tortie,Unknown,positive,368,365
A735077,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby,Neutered Male,positive,1104,1096
A771269,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,Domestic Longhair Mix,Orange Tabby/White,Spayed Female,positive,4421,4383
A673413,Europa And Ganymede in Austin (TX),Stray,Normal,Dog,Neutered Male,Australian Shepherd Mix,Blue Merle/White,Neutered Male,positive,365,365
A712949,5905 Silver Screen Dr in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,Intact Male,positive,366,365
A759748,1620 Old Lockhart Road in Travis (TX),Stray,Normal,Dog,Intact Female,Australian Shepherd Mix,White/Brown,Intact Female,positive,375,365
A759930,500 S Congress Ave in Austin (TX),Wildlife,Normal,Other,Unknown,Bat Mix,Brown,Unknown,negative,366,365
A711030,Jesse Bohls Dr in Travis (TX),Stray,Normal,Dog,Spayed Female,Dachshund/Basset Hound,Black Brindle/White,Spayed Female,positive,366,365
A806365,Austin (TX),Stray,Normal,Dog,Intact Female,Cocker Spaniel Mix,Brown/White,Intact Female,positive,22,22
A759047,3401 Webberville Rd in Austin (TX),Stray,Normal,Dog,Intact Male,Pit Bull Mix,Blue/White,Neutered Male,positive,247,243
A763936,1720 Bowerton in Austin (TX),Stray,Normal,Dog,Intact Male,Yorkshire Terrier/Standard Poodle,White,Neutered Male,positive,370,365
A696734,10911 Thaxton Rd A in Austin (TX),Stray,Normal,Dog,Intact Male,Labrador Retriever Mix,Black/White,Intact Male,positive,556,549
A743384,Austin (TX),Public Assist,Normal,Dog,Intact Female,Chihuahua Shorthair Mix,Black/White,Spayed Female,positive,1471,1462
A712530,920 Water St in Travis (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black,Spayed Female,positive,95,31
A719528,5106 Village Square Dr in Austin (TX),Stray,Normal,Dog,Intact Male,Pit Bull Mix,Brown Brindle/White,Neutered Male,positive,752,730
A676885,Del Valle (TX),Owner Surrender,Normal,Dog,Neutered Male,Chihuahua Shorthair Mix,Cream,Neutered Male,positive,765,754
A782389,Wind Mill Ranch Avenue And Windy Vane Drive in Pflugerville (TX),Stray,Normal,Dog,Neutered Male,Pit Bull Mix,White/Brown,Neutered Male,positive,877,730
A783321,Elgin Village in Travis (TX),Stray,Injured,Cat,Intact Female,Domestic Longhair Mix,White/Brown Tabby,Spayed Female,positive,91,33
A800793,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,Domestic Shorthair,Cream Tabby,Neutered Male,positive,181,85
A773699,7201 Levander Loop in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Torbie,Spayed Female,positive,82,38
A666889,Paleface Ranch Road in Travis (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby/White,Neutered Male,positive,90,76
A806720,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,Pit Bull,Brown Brindle,Spayed Female,positive,738,730
A794741,12501 Tech Ridge Blvd in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair,Orange Tiger,Neutered Male,positive,68,61
A791593,Boulder Lane in Manor (TX),Stray,Normal,Dog,Intact Female,Pointer Mix,White/Red,Spayed Female,positive,126,120
A802550,Travis (TX),Owner Surrender,Normal,Cat,Intact Female,Domestic Shorthair,Tortie,Intact Female,positive,382,365
A801208,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,Siamese Mix,Seal Point,Spayed Female,positive,370,365
A799095,North Lamar in Austin (TX),Stray,Sick,Cat,Spayed Female,Domestic Shorthair,Brown Tabby/White,Spayed Female,positive,1224,1095
A748859,7200 Grand Canyon in Austin (TX),Stray,Sick,Dog,Intact Male,Pit Bull Mix,White/Black,Neutered Male,positive,263,242
A703161,7201 Levander Loop in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,Spayed Female,positive,76,47
A783054,Travis (TX),Owner Surrender,Normal,Dog,Spayed Female,Pit Bull Mix,Brown Brindle,Spayed Female,positive,1438,1096
A673077,Travis (TX),Public Assist,Normal,Dog,Intact Female,Maltese,White,Spayed Female,positive,1917,1826
A705195,11606 N Lamar in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Black,Neutered Male,positive,67,33
A688678,11705 Lapoynor St in Manor (TX),Stray,Normal,Dog,Spayed Female,Pit Bull Mix,Black/White,Spayed Female,positive,736,730
A713647,4100 Avenue C in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,Intact Male,positive,366,365
A773793,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,German Shepherd,Black/Brown,Spayed Female,positive,92,90
A776408,000 West 41 Street in Austin (TX),Stray,Normal,Dog,Intact Female,Catahoula/Labrador Retriever,Tan,Spayed Female,positive,315,297
A806289,9111 Fm 812 in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair,Torbie,Intact Female,positive,45,40
A761306,11611 Raymond C Ewry Lane in Austin (TX),Stray,Normal,Cat,Unknown,Domestic Medium Hair Mix,Orange Tabby,Unknown,positive,369,365
A754973,183 And Burnet Rd in Austin (TX),Stray,Normal,Dog,Intact Male,Labrador Retriever Mix,Black,Neutered Male,positive,158,150
A745593,Immanuel Rd & Rendova Ln in Travis (TX),Stray,Normal,Dog,Intact Female,Pit Bull Mix,Tan/White,Spayed Female,positive,308,304
A669597,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black,Intact Female,positive,193,182
A680123,"2300 Campden Drive, Austin, Tx in Austin (TX)",Stray,Normal,Cat,Intact Male,Siamese Mix,Lynx Point,Neutered Male,positive,72,68
A711361,2602 Lehigh Dr in Austin (TX),Stray,Normal,Cat,Unknown,Domestic Shorthair Mix,Blue/White,Unknown,positive,31,31
A776586,6507 Luckenbach Ln in Travis (TX),Public Assist,Normal,Cat,Spayed Female,Domestic Shorthair Mix,Black/White,Spayed Female,positive,1243,730
A731999,7201 Levander Loop in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair,Calico,Intact Female,positive,17,17
A808524,1910 Los Olivios Way in Austin (TX),Stray,Normal,Dog,Intact Male,Norwich Terrier,Buff,Neutered Male,positive,736,730
A674403,1500 Reagan Hill in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Blue Tabby,Intact Male,positive,306,304
A706647,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,Australian Shepherd Mix,Tricolor,Neutered Male,positive,1849,1845
A782347,2109 Lear Lane in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby/White,Intact Female,positive,734,730
A728270,10105 Rodriguez Rd in Austin (TX),Stray,Normal,Dog,Intact Female,German Shepherd Mix,Brown/White,Intact Female,positive,31,31
A753095,10507 Mellow Meadow in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,Intact Male,positive,127,122
A679937,9500 S Chisholm Trl in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black/White,Spayed Female,positive,67,61
A735122,Ed Bluestien And 290 in Austin (TX),Stray,Injured,Cat,Intact Male,Domestic Longhair Mix,Black/White,Intact Male,negative,92,92
A685868,7201 Levander Loop in Austin (TX),Public Assist,Normal,Cat,Spayed Female,Domestic Shorthair Mix,Agouti,Spayed Female,positive,304,304
A702743,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,Labrador Retriever Mix,Black/White,Neutered Male,positive,114,88
A709723,1137 Gunter in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,White/Gray,Neutered Male,positive,128,122
A771932,Austin (TX),Stray,Normal,Dog,Spayed Female,Chihuahua Shorthair Mix,Tan,Spayed Female,positive,1126,1096
A709866,Austin (TX),Public Assist,Normal,Dog,Intact Female,Labrador Retriever Mix,Tan,Intact Female,positive,557,546
A796601,2203 Onion Creek in Austin (TX),Wildlife,Normal,Other,Unknown,Bat,Brown,Unknown,negative,1104,1095
A652954,11805 Oak Haven in Austin (TX),Stray,Normal,Dog,Neutered Male,German Shepherd/Labrador Retriever,Brown/Black,Neutered Male,positive,413,401
A730731,183 And Hw 973 in Austin (TX),Stray,Normal,Dog,Intact Female,Plott Hound Mix,Brown Brindle,Intact Female,positive,413,366
A789549,6813 Campina Crossing in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Black/White,Intact Male,positive,735,730
A773311,710 East Ben White Boulevard in Austin (TX),Stray,Normal,Dog,Intact Female,Labrador Retriever Mix,Black/White,Spayed Female,positive,371,365
A752017,12120 Manchaca Rd in Austin (TX),Stray,Normal,Bird,Intact Male,Chicken Mix,Red,Intact Male,positive,127,123
A699227,Montopolis Dr & Marigold Terrace in Austin (TX),Stray,Nursing,Cat,Intact Female,Domestic Medium Hair Mix,Cream Tabby/White,Spayed Female,positive,155,1
A738749,404 Ralph Ablanedo Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,German Shepherd,Brown/Black,Spayed Female,positive,2562,2557
A791864,8403 Shoal Creek in Austin (TX),Wildlife,Sick,Other,Unknown,Fox Mix,Brown/Black,Unknown,negative,730,730
A695395,3812 Cal Rodgers St in Austin (TX),Stray,Normal,Dog,Neutered Male,Australian Cattle Dog Mix,Black/White,Neutered Male,positive,1652,1647
A768939,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,Domestic Shorthair Mix,Gray/White,Spayed Female,positive,4457,4383
A731264,2614 Coatbridge Dr in Austin (TX),Stray,Normal,Cat,Unknown,Domestic Shorthair Mix,Gray/White,Unknown,positive,2,2
A749118,17004 Hayride Cv in Travis (TX),Owner Surrender,Injured,Dog,Intact Male,Border Collie Mix,Black/White,Neutered Male,positive,748,731
A745847,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,English Bulldog Mix,Brown Brindle/White,Neutered Male,positive,1827,1826
A710792,1773 Wells Branch Parkway in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Medium Hair Mix,Calico,Intact Female,positive,366,365
A778911,Cedar Park (TX),Owner Surrender,Normal,Dog,Intact Male,Cairn Terrier Mix,White/Brown,Intact Male,positive,1097,1096
A698382,Melissa Oaks in Austin (TX),Stray,Normal,Other,Unknown,Hamster Mix,Gray,Unknown,positive,368,365
A772899,301 W Ben White in Austin (TX),Public Assist,Normal,Cat,Neutered Male,Domestic Shorthair Mix,Gray/White,Neutered Male,positive,1837,1826
A713233,Crownover And Hartsmith in Austin (TX),Stray,Normal,Dog,Intact Male,Labrador Retriever Mix,Black/Blue Tick,Neutered Male,positive,198,194
A694039,6001 Airport Blvd in Austin (TX),Wildlife,Normal,Other,Unknown,Bat Mix,Brown,Unknown,negative,365,365
A808307,Travis (TX),Owner Surrender,Normal,Cat,Intact Female,Domestic Shorthair,Torbie/White,Intact Female,positive,120,116
A734259,Springdale Rd And Airport Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,Rat Terrier Mix,Black/White,Neutered Male,positive,371,366
A672422,4434 Frontier Trl in Austin (TX),Stray,Normal,Dog,Intact Male,Siberian Husky/Pit Bull,Tan/White,Neutered Male,positive,366,365
A802392,601 Long Bow Lane in Austin (TX),Stray,Normal,Dog,Neutered Male,Labrador Retriever,White/Tan,Neutered Male,positive,2191,2191
A730148,3600 S Ih 35 Frontage Rd in Austin (TX),Stray,Normal,Dog,Intact Male,Pit Bull Mix,White/Tan,Neutered Male,positive,1353,1096
A687530,E 2Nd St & Thaxton Rd in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Medium Hair Mix,Blue/White,Intact Male,positive,22,22
A720939,200 Pedernales St in Austin (TX),Stray,Normal,Dog,Spayed Female,Chihuahua Shorthair Mix,Tan/White,Spayed Female,positive,751,744
A805172,Travis (TX),Owner Surrender,Normal,Dog,Intact Female,Chihuahua Shorthair,Brown/Tan,Spayed Female,positive,1837,1826
A509226,3008 Yellow Pine in Austin (TX),Stray,Normal,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby,Neutered Male,positive,2941,2941
A740161,10600 N Platt River Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,Yorkshire Terrier Mix,Tan/Silver,Neutered Male,positive,733,731
A761016,2002 Courtney in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black,Spayed Female,positive,81,30
A679723,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby/White,Intact Male,positive,68,61
A716842,Redd St/ Jinx in Austin (TX),Stray,Normal,Dog,Spayed Female,German Shepherd/Labrador Retriever,Red/Tan,Spayed Female,positive,1280,1279
A678224,Samsung Blvd & Longday in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,Intact Male,positive,25,24
A798156,Onion Crossing Drive And Onion Creek Drive in Austin (TX),Stray,Normal,Dog,Intact Male,Labrador Retriever Mix,Brown,Intact Male,positive,217,212
A802727,9702 South Chisholm Trail in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair,Blue Tabby,Intact Male,positive,129,122
A737960,Grove Blvd & Hogan Ave in Austin (TX),Stray,Normal,Dog,Neutered Male,Chihuahua Shorthair Mix,Brown/Tan,Neutered Male,positive,370,366
A753133,9414 N Lamar Blvd in Austin (TX),Stray,Normal,Dog,Intact Female,Pit Bull Mix,Black/White,Spayed Female,positive,189,181
A678330,508 E Howard in Pflugerville (TX),Stray,Normal,Dog,Intact Female,Pit Bull Mix,Brown/White,Spayed Female,positive,367,365
A766161,Austin (TX),Owner Surrender,Normal,Other,Unknown,Guinea Pig Mix,Black/Red,Unknown,positive,368,365
A650104,Thaxton Rd/Flaxen Dr in Austin (TX),Stray,Injured,Dog,Intact Female,Australian Kelpie Mix,Black/Tan,Intact Female,negative,1301,1299
A772214,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,Neutered Male,positive,382,365
A792361,4320 Airport Blvd in Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,Dachshund Longhair Mix,Black/Brown,Neutered Male,positive,1832,1826
A675546,10515 N Mopac Expy in Austin (TX),Wildlife,Normal,Other,Unknown,Bat,Brown/Black,Unknown,negative,28,28
A607874,18319 Werchan Lane in Travis (TX),Stray,Normal,Cat,Spayed Female,Domestic Shorthair Mix,Black,Spayed Female,positive,2901,2901
A678873,2500 Montopolis in Austin (TX),Wildlife,Normal,Other,Unknown,Bat Mix,Brown,Unknown,negative,1097,1096
A747346,Outside Jurisdiction,Stray,Normal,Dog,Intact Male,Labrador Retriever/Dalmatian,White/Black,Neutered Male,positive,63,59
A801623,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,Domestic Shorthair,Blue Tabby/White,Spayed Female,positive,4766,4748
A794043,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,Pointer/Labrador Retriever,Black/White,Spayed Female,positive,130,128
A786305,Guadalupe & W 24Th St in Austin (TX),Wildlife,Normal,Other,Unknown,Bat,Brown,Unknown,negative,732,730
A731644,6901 Wier Loop Rd in Austin (TX),Stray,Normal,Dog,Intact Female,Miniature Pinscher/Pug,Tricolor,Spayed Female,positive,374,366
A684431,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,Queensland Heeler,Red/White,Neutered Male,positive,578,575
A734416,12034 Research Blvd in Austin (TX),Owner Surrender,Sick,Dog,Intact Male,Chihuahua Shorthair Mix,White,Neutered Male,positive,312,275
A702847,Flowsbre Ln in Round Rock (TX),Stray,Normal,Dog,Spayed Female,Miniature Pinscher Mix,Black/Tan,Spayed Female,positive,734,730
A740545,3909 N I- 35 Service Rd in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Blue,Spayed Female,positive,98,35
A794322,614 Blackberry Drive in Austin (TX),Stray,Normal,Cat,Spayed Female,Domestic Medium Hair Mix,Brown Tabby/White,Spayed Female,positive,2929,2922
A759952,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,Labrador Retriever Mix,Black/White,Spayed Female,positive,1762,1735
A763045,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby/White,Intact Male,positive,135,134
A720380,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,Persian,Silver,Spayed Female,positive,5119,5113
A753927,Manor Road And Northeast Drive in Austin (TX),Stray,Normal,Dog,Spayed Female,Labrador Retriever Mix,Black,Spayed Female,positive,166,162
A786309,6029 Blue Bluff Road in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair,Brown Tabby,Spayed Female,positive,394,365
A709758,6204 Blue Stem Trl in Austin (TX),Stray,Normal,Dog,Intact Male,Miniature Schnauzer Mix,Black/White,Intact Male,positive,81,75
A810740,7201 South Congress in Austin (TX),Stray,Normal,Dog,Intact Male,Doberman Pinsch,Black/Tan,Intact Male,positive,2923,2922
A793928,11717 Mc Angus Rd in Travis (TX),Stray,Injured,Dog,Intact Male,Chihuahua Shorthair Mix,Brown/White,Neutered Male,positive,370,365
A700932,1400 Coleto St in Austin (TX),Stray,Normal,Cat,Unknown,Domestic Medium Hair Mix,Black,Unknown,positive,15,15
A758245,4534 Westgate in Austin (TX),Stray,Sick,Cat,Intact Male,Domestic Shorthair Mix,Black,Intact Male,negative,123,123
A750599,Wheless Ln & Dorchester Dr in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby/White,Intact Female,negative,17,17
A741751,6703 Pixie Cove in Travis (TX),Stray,Injured,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby,Neutered Male,positive,735,731
A759957,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,Catahoula Mix,Tricolor/White,Spayed Female,positive,2201,2192
A692407,6910 E William Cannon Dr in Austin (TX),Stray,Injured,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby/White,Neutered Male,positive,70,61
A741627,6300 Sierra Vista Dr in Travis (TX),Stray,Normal,Cat,Intact Male,Domestic Longhair,Blue/White,Neutered Male,positive,246,245
A787524,4702 Leslie Avenue in Austin (TX),Stray,Normal,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby,Neutered Male,positive,1101,1096
A690352,6200 Burleson Road in Austin (TX),Stray,Normal,Dog,Intact Female,Labrador Retriever Mix,Black,Spayed Female,positive,246,242
A555265,Austin (TX),Stray,Normal,Cat,Spayed Female,Domestic Longhair Mix,Torbie,Spayed Female,negative,2418,2412
A676792,Austin (TX),Stray,Normal,Dog,Intact Male,Chihuahua Longhair Mix,Brown/White,Neutered Male,positive,1100,1096
A735725,Born In Shelter in Austin (TX),Public Assist,Nursing,Cat,Unknown,Domestic Shorthair Mix,Brown Tabby,Unknown,negative,4,0
A696247,Outside Jurisdiction,Owner Surrender,Normal,Dog,Spayed Female,Pointer Mix,Chocolate/White,Spayed Female,positive,1024,954
A745827,Burcott Mill Rd And Misty Shore in Travis (TX),Stray,Normal,Dog,Intact Female,Alaskan Husky Mix,Gray/White,Intact Female,positive,368,366
A755780,5810 Berkman Drive in Austin (TX),Stray,Normal,Dog,Intact Male,American Staffordshire Terrier Mix,Brown Brindle/White,Intact Male,positive,732,731
A740283,25212 Lakeview Dr in Travis (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Black,Neutered Male,positive,201,183
A685161,4906 Birch Creek in Austin (TX),Stray,Nursing,Cat,Unknown,Domestic Shorthair Mix,Gray,Unknown,positive,14,7
A801339,Garwood Street in Austin (TX),Stray,Normal,Dog,Intact Female,American Pit Bull Terrier,Tan/White,Spayed Female,positive,72,66
A701255,Nuckols Crossing And View Point Dr in Austin (TX),Stray,Nursing,Dog,Neutered Male,Shih Tzu Mix,White,Neutered Male,positive,3298,3287
A772743,7201 Levander Loop in Austin (TX),Wildlife,Sick,Other,Unknown,Rat,Brown,Unknown,negative,365,365
A723837,2404 Bucks Run in Austin (TX),Stray,Normal,Dog,Spayed Female,Cairn Terrier Mix,White,Spayed Female,positive,543,539
A677684,4434 Frontier Trl in Austin (TX),Stray,Normal,Dog,Intact Male,Rat Terrier/Chihuahua Shorthair,Black/White,Neutered Male,positive,1137,1096
A706245,1501 Fm 973 in Travis (TX),Stray,Nursing,Cat,Intact Female,Domestic Shorthair Mix,Tortie,Intact Female,positive,15,15
A712014,13812 Lazy Ridge Dr in Pflugerville (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Black/White,Intact Male,positive,15,15
A623034,1156 W Cesar Chavez in Austin (TX),Public Assist,Normal,Dog,Spayed Female,Pit Bull Mix,White,Spayed Female,positive,2824,2813
A610657,Manor (TX),Owner Surrender,Normal,Dog,Spayed Female,Chihuahua Shorthair Mix,Chocolate/Tan,Spayed Female,positive,3057,3049
A797581,4434 Frontier Trl in Austin (TX),Wildlife,Injured,Bird,Unknown,Parakeet,Green,Unknown,negative,730,730
A799986,7305 Shadywood Dr in Austin (TX),Owner Surrender,Injured,Dog,Intact Male,Rottweiler,Black/Brown,Neutered Male,positive,1105,1096
A762518,12800 Chime Drive in Manor (TX),Stray,Normal,Dog,Intact Female,Chihuahua Shorthair Mix,Cream,Spayed Female,positive,1103,1096
A708820,Austin (TX),Stray,Normal,Cat,Spayed Female,Domestic Shorthair Mix,Tortie,Spayed Female,positive,1830,1826
A666588,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,Domestic Shorthair Mix,Black,Neutered Male,positive,85,31
A714568,2705 Hoeke Ln in Austin (TX),Stray,Normal,Dog,Intact Male,Dachshund Wirehair/Chihuahua Shorthair,Tricolor,Neutered Male,positive,734,730
A750972,12427 Tech Ridge Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,Chihuahua Shorthair Mix,Tricolor,Neutered Male,positive,1481,1461
A792293,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,Domestic Shorthair Mix,Black,Neutered Male,positive,69,68
A610531,Guadalupe St & Franklin in Austin (TX),Stray,Normal,Dog,Spayed Female,Chow Chow Mix,Black,Spayed Female,positive,2917,2902
A797384,7613 Rio Pass in Austin (TX),Public Assist,Normal,Other,Unknown,Bat,Brown,Unknown,negative,366,365
A677240,Railroad And Applewood in Pflugerville (TX),Stray,Normal,Dog,Intact Male,Labrador Retriever/American Bulldog,Red/White,Intact Male,positive,1973,1972
A807275,4608 Westgate Boulevard in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair,Brown Tabby,Neutered Male,positive,77,48
A804085,Travis (TX),Owner Surrender,Normal,Dog,Intact Female,Great Pyrenees Mix,Tricolor,Spayed Female,positive,520,513
A706677,Lyons And Fiesta in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Medium Hair Mix,Torbie,Spayed Female,positive,96,42
A742077,Salt Springs Dr And Thaxton Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,Shih Tzu/Cocker Spaniel,Red/White,Neutered Male,positive,2935,2915
A768728,9329 Northgate Boulevard in Austin (TX),Stray,Normal,Dog,Neutered Male,Rottweiler Mix,Brown,Neutered Male,positive,365,365
A677881,7201 Woodhollow Dr in Austin (TX),Owner Surrender,Normal,Dog,Intact Female,Pomeranian/Jack Russell Terrier,Tan,Spayed Female,positive,1099,1096
A699491,Springdale And Ferguson Ln in Austin (TX),Stray,Normal,Dog,Neutered Male,Soft Coated Wheaten Terrier Mix,White,Neutered Male,positive,741,730
A806595,12113 Metric Blvd in Austin (TX),Public Assist,Normal,Dog,Unknown,Border Collie Mix,White,Unknown,positive,1461,1461
A696372,500 W 5Th in Austin (TX),Wildlife,Normal,Other,Unknown,Bat,Brown,Unknown,negative,366,365
A765192,Distant View Drive And Blue Hill Drive in Austin (TX),Stray,Normal,Dog,Intact Female,Beagle Mix,Black/Brown,Spayed Female,positive,736,731
A792728,7405 Carissa Cove in Austin (TX),Stray,Normal,Cat,Intact Male,Siamese Mix,Flame Point,Intact Male,positive,59,31
A774953,701 Capital Of Texas Highway in West Lake Hills (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Blue/White,Spayed Female,positive,74,31
A693087,1156 Hargrave St in Austin (TX),Stray,Normal,Dog,Intact Male,Chihuahua Shorthair Mix,Tan,Neutered Male,positive,66,61
A688313,5206 Village Trl in Austin (TX),Stray,Nursing,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,Spayed Female,positive,771,730
A747792,11639 River Oaks in Austin (TX),Public Assist,Normal,Dog,Intact Male,Pit Bull Mix,Brown Brindle/White,Neutered Male,positive,765,730
A770541,139 West Saint Elmo in Austin (TX),Stray,Sick,Cat,Intact Male,Domestic Shorthair Mix,Black/White,Intact Male,positive,31,31
A747140,4415 Diane Dr in Austin (TX),Public Assist,Normal,Dog,Spayed Female,Pit Bull Mix,White/Tan,Spayed Female,positive,2932,2924
A717860,11505 Melstone Dr in Austin (TX),Stray,Normal,Dog,Intact Male,Labrador Retriever Mix,Sable/White,Neutered Male,positive,74,69
